schema,portfolio_date,Date,Ticker,score,eq_weight,top_k,window,rank_best_iteration,seed,Liq_Rank,Avg_Value
26f,2026-05-12,2026-05-12,VIX,0.14227246,0.3333333333333333,3,4,30,42,3,934951488730.5
26f,2026-05-12,2026-05-12,LPB,0.12913598,0.3333333333333333,3,4,30,42,67,82368307979.0
26f,2026-05-12,2026-05-12,VRE,0.12576908,0.3333333333333333,3,4,30,42,27,285722255912.0
