schema,portfolio_date,score_date,Date,Ticker,score,eq_weight,top_k,rebalance_days,window,rank_best_iteration,seed,Liq_Rank,Avg_Value
tr_price7f,2026-05-13,2026-05-13,2026-05-13,STB,0.19021446,0.2,5,5,4,41,42,7,688275121202.0
tr_price7f,2026-05-13,2026-05-13,2026-05-13,VIX,0.17796707,0.2,5,5,4,41,42,3,934951488730.5
tr_price7f,2026-05-13,2026-05-13,2026-05-13,LPB,0.16596633,0.2,5,5,4,41,42,66,82368307979.0
tr_price7f,2026-05-13,2026-05-13,2026-05-13,VRE,0.15589541,0.2,5,5,4,41,42,27,285722255912.0
tr_price7f,2026-05-13,2026-05-13,2026-05-13,BSR,0.12370434,0.2,5,5,4,41,42,15,423499285023.5
