schema,portfolio_date,Date,Ticker,score,eq_weight,q75,q75_weight,top_k,window,rank_best_iteration,q75_best_iteration,seed
26f,2026-05-12,2026-05-12,DNH,0.033476736,0.2,0.04074506952220305,0.2213045760662725,5,4,1,187,42
26f,2026-05-12,2026-05-12,VHM,0.021342706,0.2,0.040723886219266994,0.22118952013604776,5,4,1,187,42
26f,2026-05-12,2026-05-12,GEX,0.014394776,0.2,0.04255568761949885,0.23113884743060567,5,4,1,187,42
26f,2026-05-12,2026-05-12,GEE,0.012703026,0.2,0.03488094211026273,0.18945389459447184,5,4,1,187,42
26f,2026-05-12,2026-05-12,VIC,0.012703026,0.2,0.025207505394098807,0.13691316177260227,5,4,1,187,42
