schema,scenario,config,side,top_k,rebalance_days,year,strategy_return,vni_return,alpha
tr_price7f,RB_5,EqWt,long,5,5,2024,0.17867974007968268,0.12111369730868549,0.057566042770997194
26f,RB_5,EqWt,long,5,5,2025,0.47857433062137766,0.4086818547814137,0.06989247583996394
tr_price7f,RB_5,EqWt,long,5,5,2025,0.41829568492616387,0.4086818547814137,0.009613830144750146
26f,RB_5,EqWt,long,5,5,2026,0.07285551069783147,0.06534640149286375,0.007509109204967723
tr_price7f,RB_5,EqWt,long,5,5,2026,0.25709048595846884,0.06534640149286375,0.1917440844656051
26f,TOPK_10,EqWt,long,10,5,2022,-0.2635723701903837,-0.327835918519903,0.0642635483295193
tr_price7f,TOPK_10,EqWt,long,10,5,2022,-0.20576026239601075,-0.327835918519903,0.12207565612389226
26f,TOPK_10,EqWt,long,10,5,2023,0.34044915968494416,0.12197519586134442,0.21847396382359974
tr_price7f,TOPK_10,EqWt,long,10,5,2023,0.17586872507281504,0.12197519586134442,0.053893529211470614
26f,TOPK_10,EqWt,long,10,5,2024,0.22420352572439994,0.12111369730868549,0.10308982841571446
tr_price7f,TOPK_10,EqWt,long,10,5,2024,0.08423413038089778,0.12111369730868549,-0.03687956692778771
26f,TOPK_10,EqWt,long,10,5,2025,0.35015639436795065,0.4086818547814137,-0.05852546041346307
tr_price7f,TOPK_10,EqWt,long,10,5,2025,0.24155976252457068,0.4086818547814137,-0.16712209225684305
26f,TOPK_10,EqWt,long,10,5,2026,-0.001449767734265306,0.06534640149286375,-0.06679616922712905
tr_price7f,TOPK_10,EqWt,long,10,5,2026,0.11757553832247436,0.06534640149286375,0.05222913682961061
26f,TOPK_3,EqWt,long,3,5,2022,0.09244636056750588,-0.327835918519903,0.4202822790874089
tr_price7f,TOPK_3,EqWt,long,3,5,2022,-0.2327131323985514,-0.327835918519903,0.09512278612135161
26f,TOPK_3,EqWt,long,3,5,2023,0.40580575660014984,0.12197519586134442,0.2838305607388054
tr_price7f,TOPK_3,EqWt,long,3,5,2023,0.31543104313057424,0.12197519586134442,0.19345584726922982
26f,TOPK_3,EqWt,long,3,5,2024,0.6325079849222148,0.12111369730868549,0.5113942876135293
tr_price7f,TOPK_3,EqWt,long,3,5,2024,0.27588980368342897,0.12111369730868549,0.15477610637474348
26f,TOPK_3,EqWt,long,3,5,2025,0.23731876768102822,0.4086818547814137,-0.1713630871003855
tr_price7f,TOPK_3,EqWt,long,3,5,2025,0.40392384342994747,0.4086818547814137,-0.004758011351466251
26f,TOPK_3,EqWt,long,3,5,2026,0.34282198791080476,0.06534640149286375,0.277475586417941
tr_price7f,TOPK_3,EqWt,long,3,5,2026,0.06043126165287349,0.06534640149286375,-0.004915139839990257
26f,TOPK_5,EqWt,long,5,5,2022,-0.198990091161103,-0.327835918519903,0.1288458273588
tr_price7f,TOPK_5,EqWt,long,5,5,2022,-0.13339700824853307,-0.327835918519903,0.19443891027136995
26f,TOPK_5,EqWt,long,5,5,2023,0.5159455475607395,0.12197519586134442,0.3939703516993951
tr_price7f,TOPK_5,EqWt,long,5,5,2023,0.06259333424117886,0.12197519586134442,-0.059381861620165566
26f,TOPK_5,EqWt,long,5,5,2024,0.39624132691554603,0.12111369730868549,0.27512762960686055
tr_price7f,TOPK_5,EqWt,long,5,5,2024,0.17867974007968268,0.12111369730868549,0.057566042770997194
26f,TOPK_5,EqWt,long,5,5,2025,0.47857433062137766,0.4086818547814137,0.06989247583996394
tr_price7f,TOPK_5,EqWt,long,5,5,2025,0.41829568492616387,0.4086818547814137,0.009613830144750146
26f,TOPK_5,EqWt,long,5,5,2026,0.07285551069783147,0.06534640149286375,0.007509109204967723
tr_price7f,TOPK_5,EqWt,long,5,5,2026,0.25709048595846884,0.06534640149286375,0.1917440844656051
