schema,portfolio_date,Date,Ticker,score,eq_weight,top_k,window,rank_best_iteration,seed,Liq_Rank,Avg_Value
tr_price7f,2026-05-12,2026-05-12,VRE,0.20885265,0.2,5,4,38,42,27,285722255912.0
tr_price7f,2026-05-12,2026-05-12,LPB,0.14087951,0.2,5,4,38,42,67,82368307979.0
tr_price7f,2026-05-12,2026-05-12,VIX,0.1342633,0.2,5,4,38,42,3,934951488730.5
tr_price7f,2026-05-12,2026-05-12,BSR,0.123748556,0.2,5,4,38,42,15,423499285023.5
tr_price7f,2026-05-12,2026-05-12,VHM,0.11188208,0.2,5,4,38,42,5,720486414052.0
