config,year,strategy_return_mean,strategy_return_std,alpha_mean,alpha_std
EqWt,2022,-0.2899885407475449,0.10524376682200816,0.03784737777235814,0.10524376682200816
EqWt,2023,0.18848864870198684,0.07231588358538302,0.0665134528406424,0.07231588358538302
EqWt,2024,0.8639086698119997,0.1756460727465803,0.742794972503314,0.1756460727465803
EqWt,2025,0.8400823314769849,0.15664525979709973,0.431400476695571,0.15664525979709976
EqWt,2026,-0.0951463211490722,0.111426737750485,-0.16049272264193595,0.111426737750485
Q75,2022,-0.24006806976243505,0.09924189146784337,0.08776784875746797,0.09924189146784337
Q75,2023,0.14384980618148946,0.07600355239804349,0.021874610320145038,0.07600355239804349
Q75,2024,0.8648051849548896,0.1750102581977062,0.7436914876462042,0.1750102581977062
Q75,2025,0.8321997552064921,0.20472279569986665,0.4235179004250784,0.20472279569986665
Q75,2026,-0.09590689000567662,0.08498346822625594,-0.16125329149854037,0.08498346822625595
