schema,portfolio_date,score_date,Date,Ticker,score,eq_weight,top_k,rebalance_days,window,rank_best_iteration,seed,Liq_Rank,Avg_Value
tr_price7f,2026-05-14,2026-05-14,2026-05-14,VRE,0.273052,0.2,5,5,4,41,42,27,285722255912.0
tr_price7f,2026-05-14,2026-05-14,2026-05-14,VHM,0.17784,0.2,5,5,4,41,42,5,720486414052.0
tr_price7f,2026-05-14,2026-05-14,2026-05-14,STB,0.134436,0.2,5,5,4,41,42,7,688275121202.0
tr_price7f,2026-05-14,2026-05-14,2026-05-14,VIC,0.113801,0.2,5,5,4,41,42,4,853672618991.0
tr_price7f,2026-05-14,2026-05-14,2026-05-14,BSR,0.1045,0.2,5,5,4,41,42,15,423499285023.5
