schema,config,side,cum,sharpe,mdd,wr,alpha_total,beat_years
26f,EqWt,long,1.6894679747521106,0.7512579050042127,-0.3834318151155196,0.5485661424606846,1.4206130210718868,5
tr_price7f,EqWt,long,0.9351579166973691,0.4899112199010976,-0.4137693082827991,0.5448658649398704,0.6663029630171453,4
26f,Q75,long,1.5505651005490892,0.690201268865512,-0.3627911691721638,0.5531914893617021,1.2817101468688654,4
tr_price7f,Q75,long,1.014206377111754,0.5207274260788434,-0.4089444079490132,0.5430157261794635,0.7453514234315302,3
