schema,portfolio_date,score_date,Date,Ticker,score,eq_weight,top_k,rebalance_days,window,rank_best_iteration,seed,Liq_Rank,Avg_Value
26f,2026-05-14,2026-05-14,2026-05-14,VIC,0.146484,0.2,5,5,4,26,42,4,853672618991.0
26f,2026-05-14,2026-05-14,2026-05-14,BSR,0.123245,0.2,5,5,4,26,42,15,423499285023.5
26f,2026-05-14,2026-05-14,2026-05-14,VRE,0.10654,0.2,5,5,4,26,42,27,285722255912.0
26f,2026-05-14,2026-05-14,2026-05-14,VIX,0.084054,0.2,5,5,4,26,42,3,934951488730.5
26f,2026-05-14,2026-05-14,2026-05-14,VHM,0.071693,0.2,5,5,4,26,42,5,720486414052.0
