schema,portfolio_date,Date,Ticker,score,eq_weight,q75,q75_weight,top_k,window,rank_best_iteration,q75_best_iteration,seed
tr_price7f,2026-05-12,2026-05-12,GEX,0.19835848,0.2,0.05358804343492089,0.2165251711266194,5,4,27,185,42
tr_price7f,2026-05-12,2026-05-12,VRE,0.18936114,0.2,0.05009028056162357,0.20239228520364677,5,4,27,185,42
tr_price7f,2026-05-12,2026-05-12,GEE,0.16392925,0.2,0.04793893123277104,0.1936996505836006,5,4,27,185,42
tr_price7f,2026-05-12,2026-05-12,VIX,0.16212353,0.2,0.04549273161629658,0.18381565862165772,5,4,27,185,42
tr_price7f,2026-05-12,2026-05-12,VHM,0.12105941,0.2,0.05038106999592123,0.20356723446447542,5,4,27,185,42
