config,n_seeds,cum_mean,cum_std,sharpe_mean,sharpe_std,mdd_mean,mdd_std,beat_years_mean
EqWt,5,1.3481478173274541,0.14364435418382207,0.6024133036699432,0.052017034844999754,-0.49552813198603635,0.04418403284205822,3.2
Q75,5,1.748404848383058,0.13939744263509404,0.6999240659850308,0.03945057353128826,-0.46587143865074887,0.030436041937974195,3.6
