schema,portfolio_date,score_date,Date,Ticker,score,eq_weight,top_k,rebalance_days,window,rank_best_iteration,seed,Liq_Rank,Avg_Value
26f,2026-05-07,2026-05-07,2026-05-07,VRE,0.11185125,0.2,5,5,4,26,42,27,285722255912.0
26f,2026-05-07,2026-05-07,2026-05-07,NVL,0.11101269,0.2,5,5,4,26,42,49,151454911985.5
26f,2026-05-07,2026-05-07,2026-05-07,POW,0.10860987,0.2,5,5,4,26,42,34,214433218848.0
26f,2026-05-07,2026-05-07,2026-05-07,VIC,0.10541517,0.2,5,5,4,26,42,4,853672618991.0
26f,2026-05-07,2026-05-07,2026-05-07,GVR,0.07002854,0.2,5,5,4,26,42,41,181385116642.5
