Date,Close,v7_Bull,v7_Neut,v7_Bear,v7_label
2016-08-18,807.89,0.0,1.0,0.0,Neutral
2016-08-19,805.47,0.0,1.0,0.0,Neutral
2016-08-22,795.87,0.0,1.0,0.0,Neutral
2016-08-23,796.92,0.0,1.0,0.0,Neutral
2016-08-24,800.87,0.0,1.0,0.0,Neutral
2016-08-25,803.85,0.0,1.0,0.0,Neutral
2016-08-26,806.6,0.0,1.0,0.0,Neutral
2016-08-29,792.05,0.0,1.0,0.0,Neutral
2016-08-30,793.14,0.0,1.0,0.0,Neutral
2016-08-31,795.68,0.0,1.0,0.0,Neutral
2016-09-01,800.29,0.0,1.0,0.0,Neutral
2016-09-05,801.96,0.0,1.0,0.0,Neutral
2016-09-06,801.77,0.0,1.0,0.0,Neutral
2016-09-07,800.97,0.0,1.0,0.0,Neutral
2016-09-08,805.88,0.0,1.0,0.0,Neutral
2016-09-09,809.48,0.0,1.0,0.0,Neutral
2016-09-12,795.22,0.0,1.0,0.0,Neutral
2016-09-13,795.02,0.0,1.0,0.0,Neutral
2016-09-14,790.78,0.0,1.0,0.0,Neutral
2016-09-15,786.67,0.0,1.0,0.0,Neutral
2016-09-16,784.99,0.0,1.0,0.0,Neutral
2016-09-19,788.56,0.0,1.0,0.0,Neutral
2016-09-20,792.97,0.0,1.0,0.0,Neutral
2016-09-21,797.21,0.0,1.0,0.0,Neutral
2016-09-22,801.97,0.0,1.0,0.0,Neutral
2016-09-23,806.1,0.0,1.0,0.0,Neutral
2016-09-26,807.67,0.0,1.0,0.0,Neutral
2016-09-27,811.81,0.0,1.0,0.0,Neutral
2016-09-28,809.22,0.0,1.0,0.0,Neutral
2016-09-29,807.11,0.0,1.0,0.0,Neutral
2016-09-30,804.88,0.0,1.0,0.0,Neutral
2016-10-03,806.85,0.0,1.0,0.0,Neutral
2016-10-04,798.38,0.0,1.0,0.0,Neutral
2016-10-05,799.96,0.0,1.0,0.0,Neutral
2016-10-06,806.11,0.0,1.0,0.0,Neutral
2016-10-07,803.91,0.0,1.0,0.0,Neutral
2016-10-10,797.87,0.0,1.0,0.0,Neutral
2016-10-11,800.65,0.0,1.0,0.0,Neutral
2016-10-12,802.23,0.0,1.0,0.0,Neutral
2016-10-13,808.21,0.0,1.0,0.0,Neutral
2016-10-14,812.81,0.0,1.0,0.0,Neutral
2016-10-17,808.55,0.0,1.0,0.0,Neutral
2016-10-18,810.11,0.0,1.0,0.0,Neutral
2016-10-19,809.84,0.0,1.0,0.0,Neutral
2016-10-20,812.11,0.0,1.0,0.0,Neutral
2016-10-21,812.38,0.0,1.0,0.0,Neutral
2016-10-24,807.21,0.0,1.0,0.0,Neutral
2016-10-25,801.36,0.0,1.0,0.0,Neutral
2016-10-26,798.71,0.0,1.0,0.0,Neutral
2016-10-27,797.94,0.0,1.0,0.0,Neutral
2016-10-28,800.45,0.0,1.0,0.0,Neutral
2016-10-31,795.61,0.0,1.0,0.0,Neutral
2016-11-01,796.42,0.0,1.0,0.0,Neutral
2016-11-02,790.85,0.0,1.0,0.0,Neutral
2016-11-03,786.75,0.0,1.0,0.0,Neutral
2016-11-04,783.14,0.0,1.0,0.0,Neutral
2016-11-07,789.22,0.0,1.0,0.0,Neutral
2016-11-08,788.51,0.0,1.0,0.0,Neutral
2016-11-09,778.73,0.0,1.0,0.0,Neutral
2016-11-10,795.55,0.0,1.0,0.0,Neutral
2016-11-11,794.95,0.0,1.0,0.0,Neutral
2016-11-14,793.19,0.0,1.0,0.0,Neutral
2016-11-15,792.55,0.0,1.0,0.0,Neutral
2016-11-16,795.38,0.0,1.0,0.0,Neutral
2016-11-17,791.3,0.0,1.0,0.0,Neutral
2016-11-18,789.82,0.0,1.0,0.0,Neutral
2016-11-21,789.7,0.0,1.0,0.0,Neutral
2016-11-22,788.95,0.0,1.0,0.0,Neutral
2016-11-23,787.83,0.0,1.0,0.0,Neutral
2016-11-24,789.46,0.0,1.0,0.0,Neutral
2016-11-25,788.16,0.0,1.0,0.0,Neutral
2016-11-28,782.55,0.0,1.0,0.0,Neutral
2016-11-30,785.16,0.0,1.0,0.0,Neutral
2016-12-01,787.35,0.0,1.0,0.0,Neutral
2016-12-02,786.76,0.0,1.0,0.0,Neutral
2016-12-05,787.38,0.0,0.9,0.1,Neutral
2016-12-06,776.41,0.0,0.75,0.25,Neutral
2016-12-07,774.13,0.0,0.55,0.45,Neutral
2016-12-08,773.76,0.0,0.4,0.6,Bear
2016-12-09,766.19,0.0,0.25,0.75,Bear
2016-12-12,750.06,0.0,0.1,0.9,Bear
2016-12-13,743.79,0.0,0.05,0.95,Bear
2016-12-14,756.3,0.0,0.15,0.85,Bear
2016-12-15,756.36,0.0,0.3,0.7,Bear
2016-12-16,754.16,0.0,0.45,0.55,Bear
2016-12-19,757.71,0.0,0.6,0.4,Neutral
2016-12-20,754.42,0.0,0.75,0.25,Neutral
2016-12-21,758.13,0.0,0.9,0.1,Neutral
2016-12-22,754.12,0.0,1.0,0.0,Neutral
2016-12-23,751.02,0.0,1.0,0.0,Neutral
2016-12-26,746.98,0.0,1.0,0.0,Neutral
2016-12-27,745.03,0.0,1.0,0.0,Neutral
2016-12-28,744.89,0.0,1.0,0.0,Neutral
2016-12-29,747.44,0.0,1.0,0.0,Neutral
2016-12-30,749.59,0.0,1.0,0.0,Neutral
2017-01-03,749.63,0.0,1.0,0.0,Neutral
2017-01-04,747.88,0.0,1.0,0.0,Neutral
2017-01-05,751.13,0.0,1.0,0.0,Neutral
2017-01-06,749.92,0.0,1.0,0.0,Neutral
2017-01-09,750.27,0.0,1.0,0.0,Neutral
2017-01-10,749.87,0.0,1.0,0.0,Neutral
2017-01-11,749.58,0.0,1.0,0.0,Neutral
2017-01-12,750.44,0.0,1.0,0.0,Neutral
2017-01-13,751.6,0.0,1.0,0.0,Neutral
2017-01-16,744.83,0.0,1.0,0.0,Neutral
2017-01-17,742.04,0.0,1.0,0.0,Neutral
2017-01-18,737.42,0.0,1.0,0.0,Neutral
2017-01-19,735.21,0.0,1.0,0.0,Neutral
2017-01-20,737.43,0.0,1.0,0.0,Neutral
2017-01-23,736.64,0.0,1.0,0.0,Neutral
2017-01-24,742.31,0.0,1.0,0.0,Neutral
2017-01-25,750.17,0.0,1.0,0.0,Neutral
2017-02-02,754.69,0.0,1.0,0.0,Neutral
2017-02-03,753.37,0.05,0.95,0.0,Neutral
2017-02-06,754.08,0.15,0.85,0.0,Neutral
2017-02-07,757.37,0.3,0.7,0.0,Neutral
2017-02-08,760.65,0.45,0.55,0.0,Neutral
2017-02-09,767.27,0.6,0.4,0.0,Bull
2017-02-10,769.43,0.75,0.25,0.0,Bull
2017-02-13,776.0,0.9,0.1,0.0,Bull
2017-02-14,780.41,1.0,0.0,0.0,Bull
2017-02-15,788.14,1.0,0.0,0.0,Bull
2017-02-16,785.61,1.0,0.0,0.0,Bull
2017-02-17,787.79,1.0,0.0,0.0,Bull
2017-02-21,806.79,1.0,0.0,0.0,Bull
2017-02-22,804.03,1.0,0.0,0.0,Bull
2017-02-23,804.37,1.0,0.0,0.0,Bull
2017-03-01,799.82,1.0,0.0,0.0,Bull
2017-03-02,798.97,1.0,0.0,0.0,Bull
2017-03-03,796.82,1.0,0.0,0.0,Bull
2017-03-06,802.15,1.0,0.0,0.0,Bull
2017-03-07,806.59,1.0,0.0,0.0,Bull
2017-03-08,808.33,1.0,0.0,0.0,Bull
2017-03-09,807.07,1.0,0.0,0.0,Bull
2017-03-10,804.31,1.0,0.0,0.0,Bull
2017-03-13,807.08,1.0,0.0,0.0,Bull
2017-03-14,809.69,1.0,0.0,0.0,Bull
2017-03-15,811.52,1.0,0.0,0.0,Bull
2017-03-16,816.0,1.0,0.0,0.0,Bull
2017-03-17,818.78,1.0,0.0,0.0,Bull
2017-03-20,825.47,1.0,0.0,0.0,Bull
2017-03-21,825.03,1.0,0.0,0.0,Bull
2017-03-22,813.3,1.0,0.0,0.0,Bull
2017-03-23,814.19,1.0,0.0,0.0,Bull
2017-03-24,815.65,1.0,0.0,0.0,Bull
2017-03-27,813.34,1.0,0.0,0.0,Bull
2017-03-28,812.4,1.0,0.0,0.0,Bull
2017-03-29,812.15,1.0,0.0,0.0,Bull
2017-03-30,816.69,1.0,0.0,0.0,Bull
2017-03-31,816.99,1.0,0.0,0.0,Bull
2017-04-03,818.08,1.0,0.0,0.0,Bull
2017-04-04,817.89,1.0,0.0,0.0,Bull
2017-04-05,819.16,1.0,0.0,0.0,Bull
2017-04-07,819.13,1.0,0.0,0.0,Bull
2017-04-10,820.25,1.0,0.0,0.0,Bull
2017-04-11,821.27,1.0,0.0,0.0,Bull
2017-04-12,814.93,0.95,0.05,0.0,Bull
2017-04-13,813.55,0.85,0.15,0.0,Bull
2017-04-14,807.26,0.75,0.25,0.0,Bull
2017-04-17,798.42,0.65,0.35,0.0,Bull
2017-04-18,802.64,0.6,0.4,0.0,Bull
2017-04-19,806.72,0.55,0.45,0.0,Bull
2017-04-20,806.57,0.5,0.5,0.0,Bull
2017-04-21,805.06,0.5,0.5,0.0,Bull
2017-04-24,801.24,0.5,0.5,0.0,Bull
2017-04-25,803.24,0.55,0.45,0.0,Bull
2017-04-26,809.9,0.6,0.4,0.0,Bull
2017-04-27,816.82,0.7,0.3,0.0,Bull
2017-04-28,819.09,0.8,0.2,0.0,Bull
2017-05-03,823.38,0.9,0.1,0.0,Bull
2017-05-04,828.6,0.95,0.05,0.0,Bull
2017-05-05,839.23,1.0,0.0,0.0,Bull
2017-05-08,846.9,1.0,0.0,0.0,Bull
2017-05-09,855.96,1.0,0.0,0.0,Bull
2017-05-10,856.64,1.0,0.0,0.0,Bull
2017-05-11,859.98,1.0,0.0,0.0,Bull
2017-05-12,866.56,1.0,0.0,0.0,Bull
2017-05-15,877.99,1.0,0.0,0.0,Bull
2017-05-16,871.46,1.0,0.0,0.0,Bull
2017-05-18,861.49,1.0,0.0,0.0,Bull
2017-05-19,862.71,1.0,0.0,0.0,Bull
2017-05-22,859.2,1.0,0.0,0.0,Bull
2017-05-31,860.67,1.0,0.0,0.0,Bull
2017-06-01,865.01,1.0,0.0,0.0,Bull
2017-06-02,871.73,1.0,0.0,0.0,Bull
2017-06-05,876.71,1.0,0.0,0.0,Bull
2017-06-06,880.92,1.0,0.0,0.0,Bull
2017-06-07,885.81,1.0,0.0,0.0,Bull
2017-06-08,883.26,1.0,0.0,0.0,Bull
2017-06-09,882.48,1.0,0.0,0.0,Bull
2017-06-12,878.25,1.0,0.0,0.0,Bull
2017-06-13,879.79,1.0,0.0,0.0,Bull
2017-06-14,881.13,1.0,0.0,0.0,Bull
2017-06-15,879.83,1.0,0.0,0.0,Bull
2017-06-16,880.58,1.0,0.0,0.0,Bull
2017-06-19,884.7,1.0,0.0,0.0,Bull
2017-06-20,886.45,1.0,0.0,0.0,Bull
