Date,Close,v7_Bull,v7_Neut,v7_Bear,v7_label
2016-08-18,652.87,0.0,1.0,0.0,Neutral
2016-08-19,654.42,0.0,1.0,0.0,Neutral
2016-08-22,647.46,0.0,1.0,0.0,Neutral
2016-08-23,650.92,0.0,1.0,0.0,Neutral
2016-08-24,650.95,0.0,1.0,0.0,Neutral
2016-08-25,649.06,0.0,1.0,0.0,Neutral
2016-08-26,656.71,0.0,1.0,0.0,Neutral
2016-08-29,656.23,0.0,1.0,0.0,Neutral
2016-08-30,661.2,0.0,1.0,0.0,Neutral
2016-08-31,665.25,0.0,1.0,0.0,Neutral
2016-09-01,659.09,0.0,1.0,0.0,Neutral
2016-09-05,655.08,0.0,1.0,0.0,Neutral
2016-09-06,656.02,0.0,1.0,0.0,Neutral
2016-09-07,654.79,0.0,1.0,0.0,Neutral
2016-09-08,659.25,0.0,1.0,0.0,Neutral
2016-09-09,658.66,0.0,1.0,0.0,Neutral
2016-09-12,651.63,0.0,1.0,0.0,Neutral
2016-09-13,651.8,0.0,1.0,0.0,Neutral
2016-09-14,646.93,0.0,1.0,0.0,Neutral
2016-09-15,645.02,0.0,1.0,0.0,Neutral
2016-09-16,639.37,0.0,1.0,0.0,Neutral
2016-09-19,648.83,0.0,1.0,0.0,Neutral
2016-09-20,653.66,0.0,1.0,0.0,Neutral
2016-09-21,657.44,0.0,1.0,0.0,Neutral
2016-09-22,662.31,0.0,1.0,0.0,Neutral
2016-09-23,664.31,0.0,1.0,0.0,Neutral
2016-09-26,666.1,0.0,1.0,0.0,Neutral
2016-09-27,671.21,0.0,1.0,0.0,Neutral
2016-09-28,669.17,0.0,1.0,0.0,Neutral
2016-09-29,670.3,0.0,1.0,0.0,Neutral
2016-09-30,668.44,0.0,1.0,0.0,Neutral
2016-10-03,662.42,0.0,1.0,0.0,Neutral
2016-10-04,661.89,0.0,1.0,0.0,Neutral
2016-10-05,663.95,0.0,1.0,0.0,Neutral
